"","OBJECTID","total_pop_worked_home","percent_no_health_insurance","GEOID","NAME","State","avg_household_size","pop_density_sq_km","percent_below_poverty_level","total_population","total_households_w_someone_over_65","total_over_65","White","Black","American_Indian_Alaska_Native","Asian","Native_Hawaiian_Pacific_Islander","Other","Two_or_more","Not_Hispanic_Latino","Hispanic_Latino","date","county","state","cases","deaths","confirmed_cases","confirmed_deaths","probable_cases","probable_deaths","NEVER","RARELY","SOMETIMES","FREQUENTLY","ALWAYS"
"1",1,675,7.1,"01001","Autauga County","Alabama",2.59,35.8534189940189,15.04,55200,5730,8050,42437,10565,159,568,32,409,1030,53672,1528,2020-11-30,"Autauga","Alabama",2751,42,2459,37,292,5,0.053,0.074,0.134,0.295,0.444
"2",2,5607,10.2,"01003","Baldwin County","Alabama",2.61,50.5415035640023,11.01,208107,27491,40665,179526,19764,1522,1680,9,2034,3572,198754,9353,2020-11-30,"Baldwin","Alabama",8820,98,7148,84,1672,14,0.083,0.059,0.098,0.323,0.436
"3",3,111,11.2,"01005","Barbour County","Alabama",2.49,11.247981205619,25.94,25782,3325,4634,12216,12266,72,96,1,778,353,24676,1106,2020-11-30,"Barbour","Alabama",1175,11,781,11,394,0,0.067,0.121,0.12,0.201,0.491
"4",4,208,7.9,"01007","Bibb County","Alabama",2.99,13.9731140005546,14.15,22527,2419,3661,17268,5018,8,37,0,9,187,21980,547,2020-11-30,"Bibb","Alabama",1188,17,1072,13,116,4,0.02,0.034,0.096,0.278,0.572
"5",5,477,11,"01009","Blount County","Alabama",2.77,34.5158164233531,14.29,57645,6659,10233,55054,862,141,198,18,437,935,52384,5261,2020-11-30,"Blount","Alabama",2946,40,2213,38,733,2,0.053,0.114,0.18,0.194,0.459
"6",6,108,10.8,"01011","Bullock County","Alabama",2.75,6.41761954967603,33.67,10352,1059,1616,2276,7893,122,56,0,5,0,10301,51,2020-11-30,"Bullock","Alabama",700,19,650,15,50,4,0.031,0.04,0.144,0.286,0.5
"7",7,122,10.2,"01013","Butler County","Alabama",2.94,9.95277078503475,22.91,20025,2231,3806,10414,9055,2,231,0,0,323,19958,67,2020-11-30,"Butler","Alabama",1173,42,1110,41,63,1,0.102,0.053,0.257,0.137,0.451
"8",8,1439,9.4,"01015","Calhoun County","Alabama",2.49,73.3486880019654,19.12,115098,13834,19386,85558,23676,353,1065,9,1701,2736,110895,4203,2020-11-30,"Calhoun","Alabama",6366,121,5320,101,1046,20,0.152,0.108,0.13,0.167,0.442
"9",9,258,10.8,"01017","Chambers County","Alabama",2.46,21.8926380821564,17.86,33826,4558,6409,19483,13319,97,405,0,175,347,33058,768,2020-11-30,"Chambers","Alabama",1772,50,1117,42,655,8,0.117,0.037,0.15,0.136,0.56
"10",10,169,8.3,"01019","Cherokee County","Alabama",2.41,18.0333282957246,17.17,25853,3861,5621,23997,1267,236,55,0,90,208,25455,398,2020-11-30,"Cherokee","Alabama",1029,24,724,18,305,6,0.135,0.027,0.161,0.158,0.52
"11",11,429,14.2,"01021","Chilton County","Alabama",2.6,24.4806693894376,19.13,43930,4946,6927,36599,4148,123,190,0,1858,1012,40514,3416,2020-11-30,"Chilton","Alabama",2250,38,2033,30,217,8,0.06,0.07,0.058,0.194,0.618
"12",12,76,11.4,"01023","Choctaw County","Alabama",2.41,5.52650860439243,22.24,13075,2029,2884,7420,5590,9,13,0,8,35,13002,73,2020-11-30,"Choctaw","Alabama",426,13,386,12,40,1,0.049,0.038,0.126,0.219,0.568
"13",13,74,10.8,"01025","Clarke County","Alabama",2.57,7.60313165232808,27.74,24387,3140,4626,12935,11173,25,123,0,0,131,24339,48,2020-11-30,"Clarke","Alabama",1589,19,1287,18,302,1,0.049,0.088,0.164,0.268,0.43
"14",14,177,10.2,"01027","Clay County","Alabama",2.51,8.55233134503563,19.79,13378,1806,2652,11106,1977,155,18,0,26,96,12963,415,2020-11-30,"Clay","Alabama",920,24,783,23,137,1,0.148,0.158,0.195,0.169,0.329
"15",15,178,12.8,"01029","Cleburne County","Alabama",2.58,10.2973539136845,20.22,14938,1967,2803,14068,393,39,3,0,126,309,14576,362,2020-11-30,"Cleburne","Alabama",774,14,724,12,50,2,0.151,0.125,0.138,0.217,0.368
"16",16,592,10.1,"01031","Coffee County","Alabama",2.56,29.1646729138119,15.01,51288,5786,8375,38923,8829,617,666,0,644,1609,47739,3549,2020-11-30,"Coffee","Alabama",2465,15,1783,8,682,7,0.101,0.152,0.094,0.186,0.466
"17",17,461,8.1,"01033","Colbert County","Alabama",2.48,35.4969499814872,16.65,54495,7189,10502,43288,8615,367,267,29,723,1206,53146,1349,2020-11-30,"Colbert","Alabama",3146,42,2441,40,705,2,0.082,0.096,0.152,0.159,0.51
"18",18,92,14.5,"01035","Conecuh County","Alabama",2.73,5.68299517064302,21.45,12514,1786,2707,6369,5971,56,18,0,2,98,12409,105,2020-11-30,"Conecuh","Alabama",685,14,553,14,132,0,0.099,0.052,0.259,0.192,0.399
"19",19,177,7.8,"01037","Coosa County","Alabama",2.55,6.43888528179168,13.89,10855,1646,2368,7133,3713,9,0,0,0,0,10805,50,2020-11-30,"Coosa","Alabama",346,4,217,4,129,0,0.055,0.131,0.167,0.263,0.384
"20",20,236,11.2,"01039","Covington County","Alabama",2.44,13.9937034591157,18.26,37351,5399,7650,31624,4826,58,159,13,70,601,36747,604,2020-11-30,"Covington","Alabama",2203,34,1241,31,962,3,0.187,0.128,0.129,0.201,0.356
"21",21,236,10,"01041","Crenshaw County","Alabama",2.73,8.79227330633629,17.91,13865,1726,2542,9938,3198,109,188,0,146,286,13590,275,2020-11-30,"Crenshaw","Alabama",712,30,536,28,176,2,0.06,0.091,0.199,0.233,0.416
"22",22,684,11.8,"01043","Cullman County","Alabama",2.64,43.252675634723,15.81,82313,10084,14803,78392,998,348,334,3,793,1445,78770,3543,2020-11-30,"Cullman","Alabama",4474,42,3286,35,1188,7,0.13,0.024,0.249,0.217,0.379
"23",23,605,11.4,"01045","Dale County","Alabama",2.57,33.893125488288,17.63,49255,5563,7939,35889,9749,377,633,4,947,1656,46185,3070,2020-11-30,"Dale","Alabama",2344,54,1687,53,657,1,0.089,0.113,0.118,0.22,0.46
"24",24,203,12,"01047","Dallas County","Alabama",2.41,15.7910333786488,28.75,40029,5190,6705,11257,28210,10,224,23,25,280,39617,412,2020-11-30,"Dallas","Alabama",2265,32,1816,31,449,1,0.095,0.1,0.159,0.122,0.524
"25",25,737,14.5,"01049","DeKalb County","Alabama",2.69,35.3757798349071,21.47,71200,8001,11619,60972,1004,934,140,621,5899,1630,60980,10220,2020-11-30,"DeKalb","Alabama",4897,36,4394,35,503,1,0.084,0.051,0.106,0.179,0.58
"26",26,859,8.2,"01051","Elmore County","Alabama",2.63,50.7014402097701,12.71,81212,8315,11770,60824,17402,209,392,0,774,1611,78865,2347,2020-11-30,"Elmore","Alabama",4094,64,3509,60,585,4,0.042,0.095,0.127,0.252,0.485
"27",27,81,15.5,"01053","Escambia County","Alabama",2.57,15.247648981167,24.55,37328,4699,6476,23095,11920,1437,135,72,232,437,36490,838,2020-11-30,"Escambia","Alabama",1986,31,1545,30,441,1,0.114,0.026,0.188,0.285,0.387
"28",28,1646,10.4,"01055","Etowah County","Alabama",2.62,74.2505481228132,16.46,102939,13118,18877,82710,16212,751,739,66,751,1710,99059,3880,2020-11-30,"Etowah","Alabama",6351,66,5325,64,1026,2,0.096,0.103,0.178,0.122,0.501
"29",29,130,8.8,"01057","Fayette County","Alabama",2.34,10.201801349626,20.12,16585,2432,3392,14095,1978,0,108,6,0,398,16300,285,2020-11-30,"Fayette","Alabama",922,16,785,14,137,2,0.138,0.048,0.151,0.233,0.429
"30",30,170,12.8,"01059","Franklin County","Alabama",2.79,19.2113561545785,17.07,31542,3723,5100,26467,1388,488,119,0,2767,313,26209,5333,2020-11-30,"Franklin","Alabama",2542,33,2315,33,227,0,0.065,0.071,0.223,0.156,0.484
"31",31,171,13.7,"01061","Geneva County","Alabama",2.5,17.8043158513833,22.65,26491,3661,5152,22871,2529,210,109,4,243,525,25464,1027,2020-11-30,"Geneva","Alabama",1237,8,842,7,395,1,0.176,0.131,0.089,0.158,0.445
"32",32,82,11.4,"01063","Greene County","Alabama",2.83,5.02810013073651,38.92,8426,1178,1716,1445,6713,48,0,0,0,220,8283,143,2020-11-30,"Greene","Alabama",427,18,384,15,43,3,0.03,0.053,0.127,0.167,0.623
"33",33,156,8.8,"01065","Hale County","Alabama",2.6,8.92555700068266,28.03,14887,1918,2717,5898,8748,29,39,0,101,72,14757,130,2020-11-30,"Hale","Alabama",977,31,855,30,122,1,0.026,0.061,0.084,0.191,0.639
"34",34,148,11.4,"01067","Henry County","Alabama",2.52,11.7696657362901,15.62,17124,2418,3696,12179,4749,4,0,0,37,155,16676,448,2020-11-30,"Henry","Alabama",867,6,530,5,337,1,0.066,0.068,0.17,0.258,0.438
"35",35,1118,10.4,"01069","Houston County","Alabama",2.63,69.4820926648789,17.21,104352,12176,17615,72387,28078,305,873,18,522,2169,100915,3437,2020-11-30,"Houston","Alabama",5323,38,2903,29,2420,9,0.085,0.079,0.135,0.268,0.433
"36",36,539,9.6,"01071","Jackson County","Alabama",2.49,18.6584828351285,19.82,52094,6826,9972,47412,1799,615,215,77,552,1424,50589,1505,2020-11-30,"Jackson","Alabama",3271,23,3023,21,248,2,0.092,0.089,0.11,0.249,0.46
"37",37,9241,9.5,"01073","Jefferson County","Alabama",2.47,229.251338127605,16.58,659892,72211,99146,342591,281702,1564,10250,215,12398,11172,634844,25048,2020-11-30,"Jefferson","Alabama",32718,500,30823,456,1895,44,0.049,0.037,0.107,0.179,0.628
"38",38,49,9.4,"01075","Lamar County","Alabama",2.3,8.89409702789082,21.23,13933,2251,2938,12187,1558,0,0,0,119,69,13715,218,2020-11-30,"Lamar","Alabama",683,8,556,8,127,0,0.107,0.045,0.132,0.189,0.527
"39",39,743,9.1,"01077","Lauderdale County","Alabama",2.35,53.5128223620641,16.35,92585,12634,17876,80561,9364,417,612,61,179,1391,90173,2412,2020-11-30,"Lauderdale","Alabama",4133,54,2826,51,1307,3,0.093,0.119,0.141,0.179,0.469
"40",40,271,8.2,"01079","Lawrence County","Alabama",2.57,18.5430504610001,16.93,33171,4045,5787,25942,3627,1878,44,24,5,1651,32464,707,2020-11-30,"Lawrence","Alabama",1296,36,1142,36,154,0,0.162,0.08,0.088,0.251,0.419
"41",41,2809,7.9,"01081","Lee County","Alabama",2.58,101.227864438246,22.12,159287,12518,17739,111986,36675,226,6577,18,861,2944,153422,5865,2020-11-30,"Lee","Alabama",7785,66,4811,52,2974,14,0.053,0.064,0.138,0.183,0.562
"42",42,1141,9.6,"01083","Limestone County","Alabama",2.81,64.1614968844402,13.57,93052,9261,13723,75143,12468,853,1174,24,1662,1728,87573,5479,2020-11-30,"Limestone","Alabama",4302,45,4044,42,258,3,0.102,0.034,0.133,0.336,0.395
"43",43,31,9.2,"01085","Lowndes County","Alabama",2.43,5.52043597931141,29.4,10236,1422,1828,2546,7601,13,0,0,0,76,10166,70,2020-11-30,"Lowndes","Alabama",799,29,753,27,46,2,0.12,0.073,0.145,0.199,0.464
"44",44,77,8.1,"01087","Macon County","Alabama",2.19,12.0835405513515,26.71,19054,2712,3542,3025,15740,63,50,0,107,69,18726,328,2020-11-30,"Macon","Alabama",745,22,654,18,91,4,0.008,0.033,0.241,0.172,0.545
"45",45,6249,8.9,"01089","Madison County","Alabama",2.4,172.227500046414,12.97,357560,36972,51308,243835,86012,1975,9073,324,4500,11841,340266,17294,2020-11-30,"Madison","Alabama",13425,148,12582,133,843,15,0.062,0.05,0.123,0.177,0.589
"46",46,205,9.6,"01091","Marengo County","Alabama",2.48,7.72210160787143,27.38,19538,2326,3690,8855,10518,51,0,0,58,56,19423,115,2020-11-30,"Marengo","Alabama",1225,24,1156,21,69,3,0.033,0.151,0.118,0.186,0.512
"47",47,189,10.5,"01093","Marion County","Alabama",2.41,15.5852067273234,18.38,29965,4331,6219,27886,1097,122,49,0,300,511,29213,752,2020-11-30,"Marion","Alabama",1413,36,1219,35,194,1,0.129,0.064,0.246,0.207,0.353
"48",48,1068,13.1,"01095","Marshall County","Alabama",2.7,64.921822989232,18.66,95145,10907,15941,87887,2456,389,570,46,2096,1701,82184,12961,2020-11-30,"Marshall","Alabama",6309,55,5720,54,589,1,0.075,0.064,0.129,0.253,0.479
"49",49,7391,11.6,"01097","Mobile County","Alabama",2.6,130.229928949949,18.28,414659,45375,63650,243658,147434,2915,8117,62,5004,7469,402686,11973,2020-11-30,"Mobile","Alabama",19904,362,15837,341,4067,21,0.077,0.07,0.102,0.244,0.506
"50",50,215,13.4,"01099","Monroe County","Alabama",2.61,8.09796562551444,33.12,21512,2741,4060,11814,8927,346,120,0,24,281,21210,302,2020-11-30,"Monroe","Alabama",790,11,551,10,239,1,0.112,0.041,0.182,0.288,0.378
"51",51,3558,10.5,"01101","Montgomery County","Alabama",2.45,111.578217285862,18.59,226941,23612,32183,82862,130866,414,6104,56,2522,4117,219192,7749,2020-11-30,"Montgomery","Alabama",12380,236,11571,226,809,10,0.056,0.095,0.123,0.212,0.513
"52",52,980,10.2,"01103","Morgan County","Alabama",2.57,79.3822306638455,15.56,119122,13819,19865,95966,15228,740,775,48,4054,2311,109431,9691,2020-11-30,"Morgan","Alabama",6751,50,6101,47,650,3,0.078,0.077,0.082,0.304,0.459
"53",53,29,12.7,"01105","Perry County","Alabama",2.82,5.08932713103056,37.25,9486,1312,1764,2838,6588,6,21,0,33,0,9397,89,2020-11-30,"Perry","Alabama",689,6,623,6,66,0,0.025,0.084,0.087,0.187,0.618
"54",54,419,8.5,"01107","Pickens County","Alabama",2.49,8.89134644415793,22.46,20298,2634,3729,11362,8367,25,13,8,262,261,19366,932,2020-11-30,"Pickens","Alabama",1242,18,1018,14,224,4,0.031,0.06,0.169,0.157,0.584
"55",55,503,9.6,"01109","Pike County","Alabama",2.73,19.1899851374734,25.95,33403,3149,4886,18960,12697,209,715,3,23,796,33140,263,2020-11-30,"Pike","Alabama",1592,14,1112,11,480,3,0.06,0.131,0.145,0.333,0.33
"56",56,311,10.5,"01111","Randolph County","Alabama",2.56,15.013142302193,17.63,22574,3094,4512,17443,4547,51,68,51,84,330,21909,665,2020-11-30,"Randolph","Alabama",1038,21,849,18,189,3,0.158,0.226,0.105,0.144,0.368
"57",57,625,13.4,"01113","Russell County","Alabama",2.53,35.05587425982,19.21,58213,5639,7776,29256,24957,165,518,72,840,2405,55093,3120,2020-11-30,"Russell","Alabama",2231,3,1966,3,265,0,0.069,0.067,0.08,0.213,0.57
"58",58,965,8.8,"01115","St. Clair County","Alabama",2.65,53.3705840032232,13.41,87306,9915,13891,76224,8252,315,737,8,689,1081,85217,2089,2020-11-30,"St. Clair","Alabama",4257,55,3636,54,621,1,0.027,0.134,0.144,0.2,0.495
"59",59,5397,6.8,"01117","Shelby County","Alabama",2.66,103.859038845622,8.4,211261,20582,30125,169598,25455,468,4249,47,7515,3929,199136,12125,2020-11-30,"Shelby","Alabama",10465,77,9261,63,1204,14,0.022,0.075,0.118,0.24,0.545
"60",60,50,15.5,"01119","Sumter County","Alabama",2.4,5.5470144040799,38.2,12985,1576,2198,3201,9346,8,338,0,59,33,12972,13,2020-11-30,"Sumter","Alabama",584,22,547,21,37,1,0.055,0.068,0.118,0.197,0.562
"61",61,784,9.3,"01121","Talladega County","Alabama",2.46,42.219157364741,19.61,80565,9661,13757,51720,26010,345,470,28,678,1314,78747,1818,2020-11-30,"Talladega","Alabama",3535,54,2376,45,1159,9,0.113,0.15,0.208,0.169,0.361
"62",62,373,8.1,"01123","Tallapoosa County","Alabama",2.43,21.8969584604702,18.94,40636,5797,8274,28251,11145,130,155,0,555,400,39682,954,2020-11-30,"Tallapoosa","Alabama",1770,91,1337,89,433,2,0.067,0.095,0.136,0.296,0.406
"63",63,2968,7.5,"01125","Tuscaloosa County","Alabama",2.71,60.2784113409828,16.56,206213,17616,25685,132877,65260,393,3302,73,1983,2325,198776,7437,2020-11-30,"Tuscaloosa","Alabama",13167,154,9333,121,3834,33,0.041,0.036,0.144,0.247,0.532
"64",64,532,11,"01127","Walker County","Alabama",2.54,31.480176797023,19.12,64493,8643,12024,58547,4007,109,319,0,338,1173,62948,1545,2020-11-30,"Walker","Alabama",3689,111,3320,103,369,8,0.09,0.081,0.145,0.256,0.429
"65",65,128,9.6,"01129","Washington County","Alabama",2.75,5.94877180648605,20.88,16643,2224,3038,11003,4086,1227,62,0,5,260,16461,182,2020-11-30,"Washington","Alabama",916,19,710,18,206,1,0.018,0.077,0.102,0.307,0.495
"66",66,95,11.6,"01131","Wilcox County","Alabama",2.77,4.69736954024345,29.76,10809,1330,1985,2903,7511,22,0,0,57,316,10739,70,2020-11-30,"Wilcox","Alabama",639,18,554,18,85,0,0.061,0.098,0.199,0.187,0.455
"67",67,254,12.3,"01133","Winston County","Alabama",2.5,15.038338282957,17.08,23875,3352,5027,23001,90,93,31,9,161,490,23141,734,2020-11-30,"Winston","Alabama",1344,23,1178,22,166,1,0.13,0.046,0.328,0.183,0.312
"68",68,215,45.6,"02013","Aleutians East Borough","Alaska",2.6,0.18931798413723,14.3,3425,186,302,605,144,1349,878,25,159,265,3079,346,2020-11-30,"Aleutians East Borough","Alaska",37,0,NA,0,NA,NA,0.067,0.032,0.034,0.316,0.551
"69",69,47,18.8,"02016","Aleutians West Census Area","Alaska",3.72,0.505471803211635,6.12,5750,167,334,1699,246,651,2300,148,314,392,4952,798,2020-11-30,"Aleutians West Census Area","Alaska",108,0,NA,0,NA,NA,0.078,0.031,0.03,0.337,0.524
"70",70,6080,12.2,"02020","Anchorage Municipality","Alaska",2.71,67.0002918813575,7.56,296112,20932,29492,186522,16439,21876,28445,6890,6813,29127,269265,26847,2020-11-30,"Anchorage","Alaska",16588,67,NA,67,NA,NA,0.042,0.05,0.049,0.196,0.663
"71",71,314,20.7,"02050","Bethel Census Area","Alaska",3.77,0.171435928666343,24.95,18040,1030,1284,1986,119,14927,187,3,124,694,17611,429,2020-11-30,"Bethel Census Area","Alaska",1528,5,NA,5,NA,NA,0.101,0.022,0.014,0.45,0.413
"72",72,29,19.8,"02060","Bristol Bay Borough","Alaska",2.45,0.712955928457051,4.2,890,66,85,501,4,291,3,2,8,81,858,32,2020-11-30,"Bristol Bay Borough","Alaska",76,0,NA,NA,NA,NA,0.048,0.037,0.042,0.308,0.564
"73",73,108,19.2,"02068","Denali Borough","Alaska",2.29,0.0681951983542993,8.29,2232,129,162,1810,18,44,101,0,5,254,2223,9,2020-11-30,"Denali Borough","Alaska",43,0,NA,0,NA,NA,0.062,0.081,0.067,0.225,0.565
"74",74,97,22.4,"02070","Dillingham Census Area","Alaska",3.25,0.104785321760152,17.82,4975,312,430,875,67,3587,76,3,34,333,4802,173,2020-11-30,"Dillingham Census Area","Alaska",99,1,NA,1,NA,NA,0.072,0.025,0.027,0.391,0.484
"75",75,1686,10,"02090","Fairbanks North Star Borough","Alaska",2.61,5.24949098254823,7.54,99653,6629,9124,75281,4493,7233,3068,561,1227,7790,91702,7951,2020-11-30,"Fairbanks North Star Borough","Alaska",3452,17,NA,17,NA,NA,0.094,0.084,0.175,0.234,0.413
"76",76,179,15.5,"02100","Haines Borough","Alaska",2.41,0.415544893969977,6.14,2518,483,614,2040,1,217,74,4,11,171,2421,97,2020-11-30,"Haines Borough","Alaska",16,0,NA,0,NA,NA,0.055,0.05,0.123,0.419,0.352
"77",77,98,25.1,"02105","Hoonah-Angoon Census Area","Alaska",2.47,0.125547899224925,7.88,2132,286,415,971,68,821,60,3,24,185,1990,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.051,0.064,0.13,0.399,0.356
"78",78,747,11.1,"02110","Juneau City and Borough","Alaska",2.53,4.61661018835993,6.53,32330,2761,3877,22182,325,3532,2314,320,415,3242,30207,2123,2020-11-30,"Juneau City and Borough","Alaska",837,3,NA,3,NA,NA,0.051,0.067,0.133,0.396,0.353
"79",79,2001,17.2,"02122","Kenai Peninsula Borough","Alaska",2.6,1.40288530686126,10.42,58220,6407,9092,48489,370,4493,886,194,518,3270,55845,2375,2020-11-30,"Kenai Peninsula Borough","Alaska",2554,7,NA,7,NA,NA,0.043,0.047,0.051,0.197,0.662
"80",80,200,13.2,"02130","Ketchikan Gateway Borough","Alaska",2.54,1.0973632644438,9.12,13804,1415,1950,9219,103,2013,1062,5,143,1259,13103,701,2020-11-30,"Ketchikan Gateway Borough","Alaska",193,0,NA,0,NA,NA,0.025,0.149,0.174,0.256,0.396
"81",81,463,20.3,"02150","Kodiak Island Borough","Alaska",3.05,0.796616253836105,11.37,13649,847,1248,7284,36,1862,3144,90,193,1040,12430,1219,2020-11-30,"Kodiak Island Borough","Alaska",276,0,NA,0,NA,NA,0.042,0.043,0.049,0.233,0.633
"82",82,57,21.1,"02158","Kusilvak Census Area","Alaska",4.69,0.185386083250832,38.83,8198,374,456,319,60,7480,32,2,3,302,8117,81,2020-11-30,"Kusilvak Census Area","Alaska",421,1,NA,1,NA,NA,0.103,0.022,0.007,0.521,0.347
"83",83,22,31.6,"02164","Lake and Peninsula Borough","Alaska",2.99,0.0222154125511112,13.88,1375,91,109,314,9,926,34,5,2,85,1356,19,2020-11-30,"Lake and Peninsula Borough","Alaska",5,0,NA,NA,NA,NA,0.055,0.036,0.04,0.299,0.571
"84",84,2737,15.2,"02170","Matanuska-Susitna Borough","Alaska",3.29,1.61641230138181,10.7,103464,6976,11030,85927,1121,5888,1437,226,484,8381,98520,4944,2020-11-30,"Matanuska-Susitna Borough","Alaska",3366,6,NA,6,NA,NA,0.042,0.051,0.048,0.198,0.66
"85",85,147,22.5,"02180","Nome Census Area","Alaska",3.27,0.166814790483156,20.9,9925,622,742,1601,89,7396,160,43,23,613,9672,253,2020-11-30,"Nome Census Area","Alaska",228,0,NA,0,NA,NA,0.086,0.061,0.009,0.544,0.3
"86",86,94,20.8,"02185","North Slope Borough","Alaska",3.38,0.0425856311115024,11.24,9797,381,627,3099,84,5093,548,175,98,700,9590,207,2020-11-30,"North Slope Borough","Alaska",448,0,NA,0,NA,NA,0.036,0.059,0.235,0.215,0.455
"87",87,127,27.6,"02188","Northwest Arctic Borough","Alaska",3.97,0.0837655920658693,21.18,7734,420,596,859,87,6382,76,0,41,289,7645,89,2020-11-30,"Northwest Arctic Borough","Alaska",359,0,NA,0,NA,NA,0.035,0.188,0.051,0.474,0.252
"88",88,67,9.1,"02195","Petersburg Borough","Alaska",2.72,0.433274537534888,8.03,3255,455,701,2346,23,237,302,17,6,324,2918,337,2020-11-30,"Petersburg Borough","Alaska",22,0,NA,0,NA,NA,0.042,0.095,0.148,0.349,0.365
"89",89,91,25.9,"02198","Prince of Wales-Hyder Census Area","Alaska",2.7,0.474963699740084,13.88,6474,726,960,3053,24,2583,76,41,24,673,6230,244,2020-11-30,"Prince of Wales-Hyder Census Area","Alaska",49,1,NA,1,NA,NA,0.033,0.125,0.161,0.3,0.38
"90",90,191,18.3,"02220","Sitka City and Borough","Alaska",2.37,1.17552014159081,8.17,8738,970,1268,5655,103,1118,632,8,45,1177,8172,566,2020-11-30,"Sitka City and Borough","Alaska",188,0,NA,0,NA,NA,0.048,0.077,0.137,0.381,0.357
"91",91,33,18.9,"02230","Skagway Municipality","Alaska",2.28,0.944050024664486,3.5,1061,87,120,917,13,55,19,0,5,52,1006,55,2020-11-30,"Skagway Municipality","Alaska",9,0,NA,0,NA,NA,0.058,0.038,0.116,0.435,0.354
"92",92,379,15.6,"02240","Southeast Fairbanks Census Area","Alaska",3.03,0.106951726969006,10.59,6876,679,886,5269,47,907,156,2,140,355,6495,381,2020-11-30,"Southeast Fairbanks Census Area","Alaska",283,2,NA,2,NA,NA,0.064,0.071,0.14,0.272,0.453
"93",93,218,15.7,"02261","Valdez-Cordova Census Area","Alaska",2.93,0.104936772956997,9.44,9301,705,1152,6803,25,1188,327,57,125,776,8835,466,2020-11-30,"Valdez-Cordova Census Area","Alaska",254,2,NA,2,NA,NA,0.04,0.049,0.052,0.197,0.663
"94",94,123,15,"02275","Wrangell City and Borough","Alaska",2.26,0.375226755408205,5.96,2484,382,548,1670,2,496,69,9,30,208,2363,121,2020-11-30,"Wrangell City and Borough","Alaska",19,0,NA,0,NA,NA,0.035,0.119,0.16,0.312,0.374
"95",95,17,20.5,"02282","Yakutat City and Borough","Alaska",2.69,0.0348963251396459,4.74,689,64,85,309,2,195,57,16,5,105,639,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.047,0.012,0.078,0.381,0.481
"96",96,164,29.2,"02290","Yukon-Koyukuk Census Area","Alaska",2.68,0.0143620751775343,25.87,5415,536,739,1229,7,3820,33,0,8,318,5284,131,2020-11-30,"Yukon-Koyukuk Census Area","Alaska",171,3,NA,3,NA,NA,0.044,0.047,0.126,0.425,0.358
"97",97,1195,23.5,"04001","Apache County","Arizona",3.44,2.4661635471983,33.99,71522,7183,10420,16362,513,52708,286,18,497,1138,67077,4445,2020-11-30,"Apache","Arizona",5391,196,NA,NA,NA,NA,0.055,0.063,0.031,0.15,0.701
"98",98,2082,8.2,"04003","Cochise County","Arizona",2.38,7.9091600308276,16.13,126279,19305,26550,107243,4734,1642,2362,464,4096,5738,81681,44598,2020-11-30,"Cochise","Arizona",3639,79,3567,75,72,4,0.053,0.025,0.147,0.194,0.581
"99",99,3043,12.3,"04005","Coconino County","Arizona",2.68,2.9077305777695,18.66,140217,11654,16259,89502,1869,37388,2908,176,3866,4508,120551,19666,2020-11-30,"Coconino","Arizona",7474,171,NA,NA,NA,NA,0.039,0.08,0.07,0.11,0.702
"100",100,832,11.3,"04007","Gila County","Arizona",2.42,4.33330667751936,18.44,53400,10223,14783,41095,317,8562,486,20,1133,1787,43408,9992,2020-11-30,"Gila","Arizona",2970,92,NA,NA,NA,NA,0.073,0.014,0.03,0.336,0.547
"101",101,405,8.5,"04009","Graham County","Arizona",3.12,3.16377107795328,19.75,37879,3370,5012,29917,752,4808,246,51,996,1109,25426,12453,2020-11-30,"Graham","Arizona",2194,35,NA,NA,NA,NA,0.095,0.067,0.237,0.049,0.553
"102",102,56,7.3,"04011","Greenlee County","Arizona",2.92,1.99216003069318,10.17,9504,833,1155,8642,213,436,29,0,163,21,5090,4414,2020-11-30,"Greenlee","Arizona",224,3,NA,NA,NA,NA,0.111,0.089,0.167,0.089,0.544
"103",103,380,14.5,"04012","La Paz County","Arizona",2.3,1.77630223819669,21.33,20701,4945,7847,15914,170,2924,158,8,932,595,15087,5614,2020-11-30,"La Paz","Arizona",867,20,NA,NA,NA,NA,0.031,0.064,0.162,0.173,0.57
"104",104,130577,11.1,"04013","Maricopa County","Arizona",2.76,178.541173990963,12.85,4253913,420977,615277,3301814,232690,82699,176740,9405,296569,153996,2942822,1311091,2020-11-30,"Maricopa","Arizona",205332,3977,NA,3976,NA,1,0.023,0.025,0.059,0.158,0.734
"105",105,2490,10.4,"04015","Mohave County","Arizona",2.37,5.97711349615256,15.14,206064,40415,59337,186510,2262,4862,2512,509,4976,4433,172583,33481,2020-11-30,"Mohave","Arizona",6197,260,5867,243,330,17,0.051,0.096,0.104,0.164,0.585
"106",106,2289,13.5,"04017","Navajo County","Arizona",3.08,4.21826164424761,26.08,108705,12717,18351,51934,964,48328,685,87,3459,3248,96376,12329,2020-11-30,"Navajo","Arizona",8118,271,NA,NA,NA,NA,0.091,0.108,0.059,0.139,0.602
"107",107,21770,9.9,"04019","Pima County","Arizona",2.47,42.8548311026477,16.11,1019722,132747,190252,777452,35973,38200,29475,1610,88847,48165,642896,376826,2020-11-30,"Pima","Arizona",39813,691,NA,NA,NA,NA,0.023,0.024,0.073,0.121,0.759
